id,dealer,vendor,model,date,sale_type
93842,1,Audi,A5,2010-01-18,Контракт
102198,2,SUZUKI,Grand Vitara,2010-01-18,Контракт
102206,2,SUZUKI,Grand Vitara,2010-01-18,Контракт
104966,2,SUZUKI,SX4,2010-01-18,Контракт
104967,2,SUZUKI,SX4,2010-01-18,Контракт
93883,1,Audi,Q5,2010-01-18,Контракт
106391,2,SUZUKI,SX4,2010-01-18,Контракт
107923,2,SUZUKI,Grand Vitara,2010-01-18,Расторжение
93882,1,Audi,Q5,2010-01-18,Контракт
97255,1,Audi,Q5,2010-01-19,Контракт
102182,2,SUZUKI,Grand Vitara,2010-01-19,Контракт
102175,2,SUZUKI,SX4,2010-01-19,Контракт
102174,2,SUZUKI,SX4,2010-01-19,Контракт
104968,2,SUZUKI,SX4,2010-01-19,Контракт
93787,1,Audi,Q5,2010-01-19,Контракт
102148,2,SUZUKI,Grand Vitara,2010-01-19,Контракт
102195,2,SUZUKI,SX4,2010-01-20,Контракт
104969,2,SUZUKI,Grand Vitara,2010-01-20,Контракт
93755,1,Audi,S8,2010-01-20,Контракт
100485,1,Audi,A3,2010-01-20,Расторжение
102139,2,SUZUKI,SX4,2010-01-20,Контракт
102146,2,SUZUKI,Swift,2010-01-21,Контракт
98865,1,Audi,Q5,2010-01-21,Контракт
107927,2,SUZUKI,Grand Vitara,2010-01-21,Расторжение
102185,2,SUZUKI,Grand Vitara,2010-01-21,Контракт
93811,1,Audi,Q5,2010-01-22,Контракт
102149,2,SUZUKI,Grand Vitara,2010-01-22,Контракт
106393,2,SUZUKI,SX4,2010-01-22,Контракт
102153,2,SUZUKI,Swift,2010-01-22,Контракт
106392,2,SUZUKI,Grand Vitara,2010-01-22,Контракт
102150,2,SUZUKI,Grand Vitara,2010-01-23,Контракт
102134,2,SUZUKI,Grand Vitara,2010-01-23,Контракт
104970,2,SUZUKI,Grand Vitara,2010-01-23,Контракт
106395,2,SUZUKI,SX4,2010-01-23,Контракт
97256,1,Audi,Q7,2010-01-23,Контракт
106394,2,SUZUKI,Grand Vitara,2010-01-23,Контракт
102138,2,SUZUKI,SX4,2010-01-23,Контракт
102177,2,SUZUKI,SX4,2010-01-24,Контракт
104971,2,SUZUKI,SX4,2010-01-24,Контракт
102137,2,SUZUKI,SX4,2010-01-25,Контракт
102155,2,SUZUKI,Jimny,2010-01-25,Контракт
100494,1,Audi,Q5,2010-01-25,Расторжение
93895,1,Audi,Q7,2010-01-25,Контракт
107897,2,SUZUKI,SX4,2010-01-25,Расторжение
98866,1,Audi,Q7,2010-01-25,Контракт
104972,2,SUZUKI,SX4,2010-01-25,Контракт
102199,2,SUZUKI,SX4,2010-01-25,Контракт
93926,1,Audi,Q5,2010-01-25,Контракт
102135,2,SUZUKI,Swift,2010-01-26,Контракт
102212,2,SUZUKI,Grand Vitara,2010-01-26,Контракт
93862,1,Audi,A3,2010-01-26,Контракт
93896,1,Audi,Q7,2010-01-26,Контракт
97257,1,Audi,Q5,2010-01-26,Контракт
93843,1,Audi,A5,2010-01-26,Контракт
102159,2,SUZUKI,Jimny,2010-01-26,Контракт
106396,2,SUZUKI,SX4,2010-01-26,Контракт
98867,1,Audi,Q5,2010-01-26,Контракт
102193,2,SUZUKI,Grand Vitara,2010-01-26,Контракт
97258,1,Audi,Q5,2010-01-27,Контракт
106398,2,SUZUKI,SX4,2010-01-27,Контракт
106397,2,SUZUKI,Grand Vitara,2010-01-27,Контракт
93805,1,Audi,A5,2010-01-27,Контракт
102187,2,SUZUKI,Grand Vitara,2010-01-27,Контракт
100502,1,Audi,A5,2010-01-27,Расторжение
93773,1,Audi,A3,2010-01-27,Контракт
100497,1,Audi,Q7,2010-01-27,Расторжение
102151,2,SUZUKI,Swift,2010-01-27,Контракт
104973,2,SUZUKI,SX4,2010-01-27,Контракт
98868,1,Audi,A6,2010-01-27,Контракт
93780,1,Audi,A4,2010-01-27,Контракт
98869,1,Audi,A4,2010-01-27,Контракт
97259,1,Audi,A6,2010-01-27,Контракт
106399,2,SUZUKI,Grand Vitara,2010-01-27,Контракт
106402,2,SUZUKI,Grand Vitara,2010-01-28,Контракт
106401,2,SUZUKI,Grand Vitara,2010-01-28,Контракт
97260,1,Audi,A5,2010-01-28,Контракт
102160,2,SUZUKI,SX4,2010-01-28,Контракт
106400,2,SUZUKI,SX4,2010-01-28,Контракт
102269,2,SUZUKI,Grand Vitara,2010-01-28,Контракт
102191,2,SUZUKI,Grand Vitara,2010-01-29,Контракт
93784,1,Audi,Q7,2010-01-29,Контракт
102188,2,SUZUKI,Grand Vitara,2010-01-29,Контракт
97261,1,Audi,A5,2010-01-29,Контракт
106403,2,SUZUKI,SX4,2010-01-29,Контракт
104974,2,SUZUKI,Grand Vitara,2010-01-29,Контракт
93790,1,Audi,Q5,2010-01-30,Контракт
97262,1,Audi,Q5,2010-01-30,Контракт
104977,2,SUZUKI,SX4,2010-01-30,Контракт
104976,2,SUZUKI,Grand Vitara,2010-01-30,Контракт
104975,2,SUZUKI,Grand Vitara,2010-01-30,Контракт
93861,1,Audi,A3,2010-01-31,Контракт
93791,1,Audi,Q5,2010-01-31,Контракт
106404,2,SUZUKI,Grand Vitara,2010-01-31,Контракт
97263,1,Audi,Q5,2010-01-31,Контракт
102189,2,SUZUKI,Grand Vitara,2010-01-31,Контракт
104978,2,SUZUKI,SX4,2010-01-31,Контракт
93875,1,Audi,A6,2010-01-31,Контракт
93762,1,Audi,Q7,2010-02-01,Контракт
97264,1,Audi,Q5,2010-02-01,Контракт
93886,1,Audi,Q7,2010-02-01,Контракт
107892,2,SUZUKI,SX4,2010-02-01,Расторжение
107924,2,SUZUKI,SX4,2010-02-01,Расторжение
107907,2,SUZUKI,SX4,2010-02-01,Расторжение
107926,2,SUZUKI,Grand Vitara,2010-02-01,Расторжение
107930,2,SUZUKI,SX4,2010-02-01,Расторжение
100500,1,Audi,Q7,2010-02-02,Расторжение
102234,2,SUZUKI,Swift,2010-02-02,Контракт
102131,2,SUZUKI,Jimny,2010-02-02,Контракт
100486,1,Audi,Q7,2010-02-02,Расторжение
107904,2,SUZUKI,Grand Vitara,2010-02-02,Расторжение
104979,2,SUZUKI,Grand Vitara,2010-02-02,Контракт
93884,1,Audi,Q7,2010-02-02,Контракт
97265,1,Audi,Q5,2010-02-02,Контракт
97266,1,Audi,A3,2010-02-02,Контракт
93858,1,Audi,A3,2010-02-02,Контракт
102192,2,SUZUKI,Grand Vitara,2010-02-02,Контракт
102226,2,SUZUKI,SX4,2010-02-03,Контракт
106405,2,SUZUKI,Grand Vitara,2010-02-03,Контракт
97267,1,Audi,A4,2010-02-03,Контракт
106407,2,SUZUKI,Grand Vitara,2010-02-03,Контракт
106406,2,SUZUKI,Grand Vitara,2010-02-03,Контракт
93813,1,Audi,Q5,2010-02-04,Контракт
107925,2,SUZUKI,Grand Vitara,2010-02-04,Расторжение
98870,1,Audi,Q5,2010-02-04,Контракт
102210,2,SUZUKI,Grand Vitara,2010-02-04,Контракт
104980,2,SUZUKI,Grand Vitara,2010-02-04,Контракт
93876,1,Audi,A6,2010-02-04,Контракт
104981,2,SUZUKI,Grand Vitara,2010-02-04,Контракт
93927,1,Audi,A3,2010-02-05,Контракт
102244,2,SUZUKI,SX4,2010-02-05,Контракт
107928,2,SUZUKI,Grand Vitara,2010-02-05,Расторжение
107935,2,SUZUKI,SX4,2010-02-05,Расторжение
102180,2,SUZUKI,Jimny,2010-02-05,Контракт
98872,1,Audi,Q7,2010-02-05,Контракт
98873,1,Audi,A6,2010-02-05,Контракт
98871,1,Audi,Q5,2010-02-05,Контракт
106409,2,SUZUKI,Grand Vitara,2010-02-06,Контракт
97268,1,Audi,A3,2010-02-06,Контракт
106408,2,SUZUKI,SX4,2010-02-06,Контракт
93763,1,Audi,Q7,2010-02-06,Контракт
102200,2,SUZUKI,SX4,2010-02-06,Контракт
104982,2,SUZUKI,SX4,2010-02-07,Контракт
102165,2,SUZUKI,Grand Vitara,2010-02-07,Контракт
106410,2,SUZUKI,Grand Vitara,2010-02-07,Контракт
106411,2,SUZUKI,Grand Vitara,2010-02-07,Контракт
102228,2,SUZUKI,SX4,2010-02-07,Контракт
97269,1,Audi,Q5,2010-02-08,Контракт
98874,1,Audi,Q5,2010-02-08,Контракт
100498,1,Audi,Q5,2010-02-08,Расторжение
93777,1,Audi,A4,2010-02-08,Контракт
93761,1,Audi,A3,2010-02-08,Контракт
104984,2,SUZUKI,Jimny,2010-02-08,Контракт
102178,2,SUZUKI,Grand Vitara,2010-02-08,Контракт
104983,2,SUZUKI,Grand Vitara,2010-02-08,Контракт
93930,1,Audi,A5,2010-02-08,Контракт
100513,1,Audi,Q5,2010-02-08,Расторжение
102152,2,SUZUKI,Swift,2010-02-08,Контракт
100508,1,Audi,Q5,2010-02-08,Расторжение
93809,1,Audi,Q5,2010-02-08,Контракт
98876,1,Audi,A3,2010-02-09,Контракт
97270,1,Audi,A4,2010-02-09,Контракт
100512,1,Audi,A4,2010-02-09,Расторжение
107931,2,SUZUKI,SX4,2010-02-09,Расторжение
98875,1,Audi,TTS Roadster,2010-02-09,Контракт
104985,2,SUZUKI,Swift,2010-02-09,Контракт
106412,2,SUZUKI,Grand Vitara,2010-02-09,Контракт
102201,2,SUZUKI,SX4,2010-02-09,Контракт
93789,1,Audi,Q5,2010-02-09,Контракт
93931,1,Audi,Q5,2010-02-09,Контракт
106413,2,SUZUKI,Grand Vitara,2010-02-09,Контракт
93778,1,Audi,A4,2010-02-09,Контракт
106414,2,SUZUKI,Grand Vitara,2010-02-10,Контракт
93933,1,Audi,A5,2010-02-10,Контракт
100505,1,Audi,Q7,2010-02-10,Расторжение
102208,2,SUZUKI,Grand Vitara,2010-02-10,Контракт
104986,2,SUZUKI,SX4,2010-02-10,Контракт
102257,2,SUZUKI,SX4,2010-02-10,Контракт
93770,1,Audi,A4,2010-02-10,Контракт
98878,1,Audi,A3,2010-02-11,Контракт
102183,2,SUZUKI,Grand Vitara,2010-02-11,Контракт
107937,2,SUZUKI,Grand Vitara,2010-02-11,Расторжение
97271,1,Audi,Q7,2010-02-11,Контракт
93810,1,Audi,Q5,2010-02-11,Контракт
93760,1,Audi,Q7,2010-02-11,Контракт
98877,1,Audi,Q7,2010-02-11,Контракт
102231,2,SUZUKI,Grand Vitara,2010-02-11,Контракт
93785,1,Audi,Q5,2010-02-11,Контракт
93764,1,Audi,Q7,2010-02-12,Контракт
104987,2,SUZUKI,Grand Vitara,2010-02-12,Контракт
106416,2,SUZUKI,Swift,2010-02-12,Контракт
106417,2,SUZUKI,Grand Vitara,2010-02-12,Контракт
98881,1,Audi,Q5,2010-02-12,Контракт
98880,1,Audi,Q5,2010-02-12,Контракт
98879,1,Audi,A6,2010-02-12,Контракт
106415,2,SUZUKI,Grand Vitara,2010-02-12,Контракт
93934,1,Audi,Q7,2010-02-12,Контракт
102203,2,SUZUKI,Grand Vitara,2010-02-13,Контракт
97272,1,Audi,Q5,2010-02-13,Контракт
100519,1,Audi,Q5,2010-02-13,Расторжение
106418,2,SUZUKI,SX4,2010-02-13,Контракт
100518,1,Audi,Q5,2010-02-13,Расторжение
100517,1,Audi,Q5,2010-02-13,Расторжение
98882,1,Audi,A3,2010-02-13,Контракт
93756,1,Audi,S8,2010-02-14,Контракт
102213,2,SUZUKI,Grand Vitara,2010-02-14,Контракт
93935,1,Audi,Q5,2010-02-14,Контракт
93936,1,Audi,Q5,2010-02-14,Контракт
106419,2,SUZUKI,Swift,2010-02-14,Контракт
93937,1,Audi,Q5,2010-02-14,Контракт
93769,1,Audi,A4,2010-02-15,Контракт
102197,2,SUZUKI,SX4,2010-02-15,Контракт
100514,1,Audi,A4,2010-02-15,Расторжение
106420,2,SUZUKI,SX4,2010-02-15,Контракт
102184,2,SUZUKI,Grand Vitara,2010-02-15,Контракт
93831,1,Audi,A6,2010-02-15,Контракт
107936,2,SUZUKI,Grand Vitara,2010-02-15,Расторжение
107932,2,SUZUKI,SX4,2010-02-15,Расторжение
93803,1,Audi,A5,2010-02-15,Контракт
102132,2,SUZUKI,Swift,2010-02-15,Контракт
100487,1,Audi,Q7,2010-02-15,Расторжение
93939,1,Audi,A6,2010-02-16,Контракт
93849,1,Audi,A6,2010-02-16,Контракт
93847,1,Audi,A6,2010-02-16,Контракт
93826,1,Audi,A6,2010-02-16,Контракт
106421,2,SUZUKI,Grand Vitara,2010-02-16,Контракт
97273,1,Audi,A6,2010-02-16,Контракт
102223,2,SUZUKI,Grand Vitara,2010-02-16,Контракт
100507,1,Audi,A6,2010-02-16,Расторжение
100506,1,Audi,A4,2010-02-16,Расторжение
102181,2,SUZUKI,Jimny,2010-02-16,Контракт
102194,2,SUZUKI,SX4,2010-02-16,Контракт
107893,2,SUZUKI,SX4,2010-02-16,Расторжение
104990,2,SUZUKI,Jimny,2010-02-16,Контракт
104989,2,SUZUKI,SX4,2010-02-16,Контракт
104988,2,SUZUKI,SX4,2010-02-16,Контракт
106422,2,SUZUKI,Grand Vitara,2010-02-17,Контракт
102133,2,SUZUKI,SX4,2010-02-17,Контракт
102147,2,SUZUKI,Swift,2010-02-17,Контракт
107940,2,SUZUKI,Grand Vitara,2010-02-17,Расторжение
102173,2,SUZUKI,Swift,2010-02-17,Контракт
93850,1,Audi,Q5,2010-02-17,Контракт
93894,1,Audi,A4,2010-02-17,Контракт
93877,1,Audi,A6,2010-02-18,Контракт
106423,2,SUZUKI,SX4,2010-02-18,Контракт
97274,1,Audi,Q7,2010-02-18,Контракт
107939,2,SUZUKI,Grand Vitara,2010-02-18,Расторжение
93938,1,Audi,Q7,2010-02-18,Контракт
100520,1,Audi,S8,2010-02-18,Расторжение
93904,1,Audi,Q7,2010-02-18,Контракт
104991,2,SUZUKI,SX4,2010-02-18,Контракт
98883,1,Audi,A4,2010-02-18,Контракт
93887,1,Audi,Q7,2010-02-18,Контракт
93944,1,Audi,Q7,2010-02-19,Контракт
98886,1,Audi,Q5,2010-02-19,Контракт
98885,1,Audi,Q5,2010-02-19,Контракт
93885,1,Audi,Q7,2010-02-19,Контракт
98884,1,Audi,Q5,2010-02-19,Контракт
93844,1,Audi,A5,2010-02-19,Контракт
102143,2,SUZUKI,SX4,2010-02-19,Контракт
102273,2,SUZUKI,SX4,2010-02-19,Контракт
97275,1,Audi,Q7,2010-02-19,Контракт
97276,1,Audi,A8,2010-02-19,Контракт
102232,2,SUZUKI,Grand Vitara,2010-02-19,Контракт
100524,1,Audi,Q7,2010-02-19,Расторжение
100490,1,Audi,A3,2010-02-19,Расторжение
100491,1,Audi,A3,2010-02-19,Расторжение
98887,1,Audi,A3,2010-02-21,Контракт
93919,1,Audi,A6,2010-02-22,Контракт
93928,1,Audi,Q5,2010-02-22,Контракт
106424,2,SUZUKI,Jimny,2010-02-22,Контракт
100515,1,Audi,Q7,2010-02-22,Расторжение
98888,1,Audi,A6,2010-02-22,Контракт
106425,2,SUZUKI,Grand Vitara,2010-02-22,Контракт
107824,2,SUZUKI,Swift,2010-02-24,Расторжение
107821,2,SUZUKI,Grand Vitara,2010-02-24,Расторжение
93836,1,Audi,Q5,2010-02-24,Контракт
106426,2,SUZUKI,Swift,2010-02-24,Контракт
102386,2,SUZUKI,Grand Vitara,2010-02-24,Контракт
100530,1,Audi,A6,2010-02-24,Расторжение
107900,2,SUZUKI,Grand Vitara,2010-02-24,Расторжение
93872,1,Audi,A6,2010-02-25,Контракт
93860,1,Audi,A4,2010-02-25,Контракт
100511,1,Audi,A3,2010-02-25,Расторжение
93817,1,Audi,Q5,2010-02-25,Контракт
98889,1,Audi,A4,2010-02-25,Контракт
107943,2,SUZUKI,Grand Vitara,2010-02-25,Расторжение
100478,1,Audi,Q5,2010-02-25,Расторжение
100504,1,Audi,A3,2010-02-25,Расторжение
102227,2,SUZUKI,SX4,2010-02-26,Контракт
93792,1,Audi,A4,2010-02-26,Контракт
97277,1,Audi,A3,2010-02-26,Контракт
102209,2,SUZUKI,Grand Vitara,2010-02-26,Контракт
104992,2,SUZUKI,Grand Vitara,2010-02-27,Контракт
100509,1,Audi,Q7,2010-02-27,Расторжение
102156,2,SUZUKI,Jimny,2010-02-27,Контракт
107779,2,SUZUKI,SX4,2010-02-28,Расторжение
102241,2,SUZUKI,Jimny,2010-02-28,Контракт
104993,2,SUZUKI,SX4,2010-02-28,Контракт
93806,1,Audi,A5,2010-03-01,Контракт
98891,1,Audi,A4,2010-03-01,Контракт
102205,2,SUZUKI,Grand Vitara,2010-03-01,Контракт
93947,1,Audi,Q5,2010-03-01,Контракт
93942,1,Audi,A8,2010-03-01,Контракт
98890,1,Audi,A6,2010-03-01,Контракт
106427,2,SUZUKI,SX4,2010-03-02,Контракт
93835,1,Audi,Q7,2010-03-02,Контракт
102220,2,SUZUKI,Grand Vitara,2010-03-02,Контракт
97278,1,Audi,A4,2010-03-02,Контракт
102169,2,SUZUKI,Grand Vitara,2010-03-02,Контракт
104995,2,SUZUKI,SX4,2010-03-02,Контракт
104994,2,SUZUKI,SX4,2010-03-02,Контракт
100521,1,Audi,A6,2010-03-03,Расторжение
98892,1,Audi,Q7,2010-03-03,Контракт
93878,1,Audi,A6,2010-03-03,Контракт
93920,1,Audi,A6,2010-03-03,Контракт
100526,1,Audi,Q7,2010-03-04,Расторжение
100528,1,Audi,Q5,2010-03-04,Расторжение
102230,2,SUZUKI,Grand Vitara,2010-03-04,Контракт
102222,2,SUZUKI,Grand Vitara,2010-03-04,Контракт
100522,1,Audi,A4,2010-03-04,Расторжение
93782,1,Audi,Q7,2010-03-04,Контракт
93902,1,Audi,Q7,2010-03-04,Контракт
100510,1,Audi,A6,2010-03-04,Расторжение
94000,1,Audi,Q7,2010-03-04,Контракт
102246,2,SUZUKI,SX4,2010-03-04,Контракт
102239,2,SUZUKI,Jimny,2010-03-05,Контракт
100495,1,Audi,Q7,2010-03-05,Расторжение
102207,2,SUZUKI,Grand Vitara,2010-03-05,Контракт
102373,2,SUZUKI,Grand Vitara,2010-03-05,Контракт
106428,2,SUZUKI,Grand Vitara,2010-03-05,Контракт
102272,2,SUZUKI,SX4,2010-03-05,Контракт
97279,1,Audi,A4,2010-03-06,Контракт
106429,2,SUZUKI,SX4,2010-03-06,Контракт
102233,2,SUZUKI,Grand Vitara,2010-03-06,Контракт
93830,1,Audi,A6,2010-03-07,Контракт
93948,1,Audi,Q7,2010-03-07,Контракт
98893,1,Audi,A3,2010-03-07,Контракт
104996,2,SUZUKI,Grand Vitara,2010-03-07,Контракт
98894,1,Audi,A3,2010-03-08,Контракт
104997,2,SUZUKI,SX4,2010-03-08,Контракт
93901,1,Audi,Q7,2010-03-08,Контракт
93949,1,Audi,Q5,2010-03-09,Контракт
106430,2,SUZUKI,SX4,2010-03-09,Контракт
100499,1,Audi,Q5,2010-03-09,Расторжение
98895,1,Audi,Q7,2010-03-09,Контракт
106431,2,SUZUKI,Grand Vitara,2010-03-09,Контракт
102254,2,SUZUKI,SX4,2010-03-09,Контракт
100536,1,Audi,A5,2010-03-09,Расторжение
107894,2,SUZUKI,SX4,2010-03-09,Расторжение
97280,1,Audi,Q7,2010-03-09,Контракт
93827,1,Audi,A6,2010-03-10,Контракт
93799,1,Audi,A3,2010-03-10,Контракт
102236,2,SUZUKI,Jimny,2010-03-10,Контракт
100516,1,Audi,Q7,2010-03-10,Расторжение
98896,1,Audi,Q5,2010-03-10,Контракт
100545,1,Audi,A6,2010-03-11,Расторжение
97281,1,Audi,A5,2010-03-11,Контракт
93950,1,Audi,A4,2010-03-11,Контракт
102235,2,SUZUKI,Grand Vitara,2010-03-11,Контракт
102270,2,SUZUKI,Grand Vitara,2010-03-11,Контракт
102211,2,SUZUKI,Grand Vitara,2010-03-11,Контракт
98897,1,Audi,A5,2010-03-11,Контракт
93851,1,Audi,Q7,2010-03-11,Контракт
100525,1,Audi,A6,2010-03-12,Расторжение
100539,1,Audi,A3,2010-03-13,Расторжение
97282,1,Audi,A3,2010-03-13,Контракт
107946,2,SUZUKI,Grand Vitara,2010-03-14,Расторжение
102171,2,SUZUKI,Grand Vitara,2010-03-14,Контракт
102176,2,SUZUKI,Swift,2010-03-14,Контракт
104998,2,SUZUKI,SX4,2010-03-14,Контракт
102196,2,SUZUKI,SX4,2010-03-14,Контракт
93932,1,Audi,A5,2010-03-14,Контракт
106432,2,SUZUKI,SX4,2010-03-15,Контракт
93822,1,Audi,Q7,2010-03-15,Контракт
107949,2,SUZUKI,SX4,2010-03-15,Расторжение
97283,1,Audi,A3,2010-03-15,Контракт
98898,1,Audi,A4,2010-03-15,Контракт
102265,2,SUZUKI,Grand Vitara,2010-03-15,Контракт
102344,2,SUZUKI,Jimny,2010-03-15,Контракт
100533,1,Audi,A4,2010-03-16,Расторжение
93775,1,Audi,A4,2010-03-16,Контракт
100549,1,Audi,Q5,2010-03-16,Расторжение
100550,1,Audi,A4,2010-03-16,Расторжение
107902,2,SUZUKI,Grand Vitara,2010-03-16,Расторжение
93766,1,Audi,A4,2010-03-16,Контракт
93955,1,Audi,Q5,2010-03-16,Контракт
97284,1,Audi,Q7,2010-03-16,Контракт
102238,2,SUZUKI,Jimny,2010-03-16,Контракт
93812,1,Audi,Q5,2010-03-16,Контракт
98899,1,Audi,Q7,2010-03-16,Контракт
104999,2,SUZUKI,Grand Vitara,2010-03-17,Контракт
105000,2,SUZUKI,Grand Vitara,2010-03-17,Контракт
93768,1,Audi,A6,2010-03-17,Контракт
106434,2,SUZUKI,Jimny,2010-03-17,Контракт
106433,2,SUZUKI,Grand Vitara,2010-03-17,Контракт
107914,2,SUZUKI,Grand Vitara,2010-03-17,Расторжение
107920,2,SUZUKI,Grand Vitara,2010-03-17,Расторжение
93956,1,Audi,A4,2010-03-17,Контракт
102258,2,SUZUKI,SX4,2010-03-17,Контракт
93999,1,Audi,A4,2010-03-17,Контракт
98900,1,Audi,A3,2010-03-17,Контракт
106435,2,SUZUKI,Grand Vitara,2010-03-18,Контракт
100544,1,Audi,Q5,2010-03-18,Расторжение
106436,2,SUZUKI,Grand Vitara,2010-03-18,Контракт
93898,1,Audi,A8,2010-03-18,Контракт
93966,1,Audi,A6,2010-03-18,Контракт
100534,1,Audi,A8,2010-03-18,Расторжение
102264,2,SUZUKI,Grand Vitara,2010-03-18,Контракт
100529,1,Audi,A8,2010-03-19,Расторжение
93855,1,Audi,A6,2010-03-19,Контракт
105001,2,SUZUKI,Grand Vitara,2010-03-19,Контракт
100547,1,Audi,A3,2010-03-19,Расторжение
106437,2,SUZUKI,Grand Vitara,2010-03-19,Контракт
93971,1,Audi,Q5,2010-03-20,Контракт
93859,1,Audi,A3,2010-03-20,Контракт
98902,1,Audi,Q5,2010-03-20,Контракт
98901,1,Audi,A3,2010-03-20,Контракт
102215,2,SUZUKI,Grand Vitara,2010-03-20,Контракт
97285,1,Audi,A3,2010-03-20,Контракт
102166,2,SUZUKI,Jimny,2010-03-21,Контракт
105002,2,SUZUKI,Jimny,2010-03-21,Контракт
98903,1,Audi,Q5,2010-03-21,Контракт
93866,1,Audi,A4,2010-03-21,Контракт
93970,1,Audi,Q7,2010-03-21,Контракт
102225,2,SUZUKI,Grand Vitara,2010-03-21,Контракт
107945,2,SUZUKI,Grand Vitara,2010-03-22,Расторжение
98904,1,Audi,Q7,2010-03-22,Контракт
102330,2,SUZUKI,Grand Vitara,2010-03-22,Контракт
102204,2,SUZUKI,Grand Vitara,2010-03-22,Контракт
107919,2,SUZUKI,Grand Vitara,2010-03-22,Расторжение
106439,2,SUZUKI,Grand Vitara,2010-03-22,Контракт
107832,2,SUZUKI,Jimny,2010-03-22,Расторжение
105003,2,SUZUKI,Grand Vitara,2010-03-22,Контракт
106438,2,SUZUKI,SX4,2010-03-22,Контракт
105004,2,SUZUKI,SX4,2010-03-22,Контракт
102163,2,SUZUKI,Grand Vitara,2010-03-23,Контракт
97286,1,Audi,A4,2010-03-23,Контракт
102144,2,SUZUKI,Jimny,2010-03-23,Контракт
93940,1,Audi,A6,2010-03-23,Контракт
93865,1,Audi,A4,2010-03-23,Контракт
102325,2,SUZUKI,Grand Vitara,2010-03-23,Контракт
102221,2,SUZUKI,Grand Vitara,2010-03-23,Контракт
93864,1,Audi,A4,2010-03-23,Контракт
106440,2,SUZUKI,SX4,2010-03-23,Контракт
102218,2,SUZUKI,Grand Vitara,2010-03-23,Контракт
102214,2,SUZUKI,Grand Vitara,2010-03-23,Контракт
105006,2,SUZUKI,Grand Vitara,2010-03-23,Контракт
105005,2,SUZUKI,SX4,2010-03-23,Контракт
106443,2,SUZUKI,Grand Vitara,2010-03-23,Контракт
106442,2,SUZUKI,Grand Vitara,2010-03-23,Контракт
106441,2,SUZUKI,Grand Vitara,2010-03-23,Контракт
98905,1,Audi,Q5,2010-03-23,Контракт
102167,2,SUZUKI,Jimny,2010-03-23,Контракт
